Team1,Team2,Venue_Team1,Venue_Team2,Inning_Team1,Inning_Team2,Winner
Afghanistan,Zimbabwe,Away,Away,First,Second,Afghanistan
Zimbabwe,Afghanistan,Away,Away,First,Second,Zimbabwe
Zimbabwe,Afghanistan,Away,Away,First,Second,Afghanistan
Zimbabwe,Afghanistan,Away,Away,First,Second,Afghanistan
Afghanistan,Zimbabwe,Away,Away,First,Second,Afghanistan
United Arab Emirates,Papua New Guinea,Away,Away,First,Second,United Arab Emirates
Pakistan,West Indies,Away,Home,First,Second,Pakistan
Pakistan,West Indies,Away,Home,First,Second,Pakistan
West Indies,Pakistan,Home,Away,First,Second,Pakistan
England,Sri Lanka,Away,Away,First,Second,England
Sri Lanka,England,Away,Away,First,Second,England
Sri Lanka,England,Away,Away,First,Second,England
Sri Lanka,England,Away,Away,First,Second,Sri Lanka
England,Sri Lanka,Away,Away,First,Second,England
India,Ireland,Away,Away,First,Second,India
India,Ireland,Away,Away,First,Second,India
West Indies,ICC World XI,Away,Away,First,Second,West Indies
Netherlands,Ireland,Away,Away,First,Second,Netherlands
Ireland,Netherlands,Away,Away,First,Second,Netherlands
Ireland,Scotland,Away,Away,First,Second,Ireland
Netherlands,Scotland,Away,Away,First,Second,Scotland
Scotland,Netherlands,Away,Away,First,Second,Scotland
Sri Lanka,South Africa,Away,Away,First,Second,South Africa
Sri Lanka,South Africa,Away,Away,First,Second,South Africa
South Africa,Sri Lanka,Away,Away,First,Second,South Africa
Sri Lanka,South Africa,Away,Away,First,Second,Sri Lanka
Sri Lanka,South Africa,Away,Away,First,Second,Sri Lanka
South Africa,Sri Lanka,Away,Away,First,Second,Sri Lanka
Pakistan,Zimbabwe,Away,Away,First,Second,Pakistan
Pakistan,Australia,Away,Away,First,Second,Australia
Australia,Zimbabwe,Away,Away,First,Second,Australia
Zimbabwe,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,Australia,Away,Away,First,Second,Pakistan
Zimbabwe,Australia,Away,Away,First,Second,Australia
Australia,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,Zimbabwe,Away,Away,First,Second,Pakistan
Zimbabwe,Pakistan,Away,Away,First,Second,Pakistan
Zimbabwe,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,Zimbabwe,Away,Away,First,Second,Pakistan
Pakistan,Zimbabwe,Away,Away,First,Second,Pakistan
Zimbabwe,South Africa,Away,Away,First,Second,South Africa
South Africa,Zimbabwe,Away,Away,First,Second,South Africa
Zimbabwe,South Africa,Away,Away,First,Second,South Africa
South Africa,Zimbabwe,Away,Away,First,Second,South Africa
Zimbabwe,South Africa,Away,Away,First,Second,South Africa
South Africa,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,South Africa,Away,Away,First,Second,South Africa
Pakistan,South Africa,Away,Away,First,Second,South Africa
South Africa,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,South Africa,Away,Away,First,Second,South Africa
South Africa,Pakistan,Away,Away,First,Second,South Africa
South Africa,Pakistan,Away,Away,First,Second,South Africa
Pakistan,South Africa,Away,Away,First,Second,Pakistan
Sri Lanka,South Africa,Away,Away,First,Second,South Africa
South Africa,Sri Lanka,Away,Away,First,Second,South Africa
South Africa,Sri Lanka,Away,Away,First,Second,South Africa
Sri Lanka,South Africa,Away,Away,First,Second,South Africa
Sri Lanka,South Africa,Away,Away,First,Second,South Africa
South Africa,Sri Lanka,Away,Away,First,Second,South Africa
South Africa,Sri Lanka,Away,Away,First,Second,South Africa
England,South Africa,Away,Away,First,Second,England
Pakistan,West Indies,Away,Away,First,Second,West Indies
Sri Lanka,New Zealand,Away,Away,First,Second,New Zealand
Afghanistan,Australia,Away,Away,First,Second,Australia
Bangladesh,South Africa,Away,Away,First,Second,Bangladesh
Pakistan,England,Away,Away,First,Second,Pakistan
Sri Lanka,Afghanistan,Away,Away,First,Second,Sri Lanka
South Africa,India,Away,Away,First,Second,India
Bangladesh,New Zealand,Away,Away,First,Second,New Zealand
Australia,West Indies,Away,Away,First,Second,Australia
England,Bangladesh,Away,Away,First,Second,England
Afghanistan,New Zealand,Away,Away,First,Second,New Zealand
India,Australia,Away,Away,First,Second,India
Australia,Pakistan,Away,Away,First,Second,Australia
West Indies,England,Away,Away,First,Second,England
Australia,Sri Lanka,Away,Away,First,Second,Australia
Afghanistan,South Africa,Away,Away,First,Second,South Africa
India,Pakistan,Away,Away,First,Second,India
West Indies,Bangladesh,Away,Away,First,Second,Bangladesh
England,Afghanistan,Away,Away,First,Second,England
South Africa,New Zealand,Away,Away,First,Second,New Zealand
Australia,Bangladesh,Away,Away,First,Second,Australia
Sri Lanka,England,Away,Away,First,Second,Sri Lanka
India,Afghanistan,Away,Away,First,Second,India
New Zealand,West Indies,Away,Away,First,Second,New Zealand
Pakistan,South Africa,Away,Away,First,Second,Pakistan
Bangladesh,Afghanistan,Away,Away,First,Second,Bangladesh
Australia,England,Away,Away,First,Second,Australia
New Zealand,Pakistan,Away,Away,First,Second,Pakistan
India,West Indies,Away,Away,First,Second,India
Sri Lanka,South Africa,Away,Away,First,Second,South Africa
Afghanistan,Pakistan,Away,Away,First,Second,Pakistan
Australia,New Zealand,Away,Away,First,Second,Australia
England,India,Away,Away,First,Second,England
Sri Lanka,West Indies,Away,Away,First,Second,Sri Lanka
India,Bangladesh,Away,Away,First,Second,India
England,New Zealand,Away,Away,First,Second,England
West Indies,Afghanistan,Away,Away,First,Second,West Indies
Pakistan,Bangladesh,Away,Away,First,Second,Pakistan
Sri Lanka,India,Away,Away,First,Second,India
South Africa,Australia,Away,Away,First,Second,South Africa
New Zealand,India,Away,Away,First,Second,New Zealand
Australia,England,Away,Away,First,Second,England
Australia,South Africa,Away,Away,First,Second,South Africa
Australia,South Africa,Away,Away,First,Second,Australia
South Africa,Australia,Away,Away,First,Second,South Africa
South Africa,Australia,Away,Away,First,Second,South Africa
Australia,India,Away,Away,First,Second,Australia
Australia,India,Away,Away,First,Second,India
Australia,India,Away,Away,First,Second,Australia
Australia,India,Away,Away,First,Second,India
Australia,India,Away,Away,First,Second,India
Bangladesh,Afghanistan,Away,Away,First,Second,Afghanistan
Afghanistan,Bangladesh,Away,Away,First,Second,Afghanistan
Bangladesh,West Indies,Away,Away,First,Second,Bangladesh
West Indies,Bangladesh,Away,Away,First,Second,West Indies
Bangladesh,West Indies,Away,Home,First,Second,Bangladesh
Bangladesh,West Indies,Away,Home,First,Second,West Indies
Bangladesh,West Indies,Away,Away,First,Second,Bangladesh
Bangladesh,West Indies,Away,Away,First,Second,Bangladesh
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Ireland
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
Pakistan,England,Away,Away,First,Second,England
England,Pakistan,Away,Away,First,Second,England
Pakistan,England,Away,Away,First,Second,England
Pakistan,England,Away,Away,First,Second,England
England,Pakistan,Away,Away,First,Second,England
Bangladesh,Sri Lanka,Away,Away,First,Second,Bangladesh
Hong Kong,Pakistan,Away,Away,First,Second,Pakistan
Afghanistan,Sri Lanka,Away,Away,First,Second,Afghanistan
India,Hong Kong,Away,Away,First,Second,India
Pakistan,India,Away,Away,First,Second,India
Afghanistan,Bangladesh,Away,Away,First,Second,Afghanistan
Bangladesh,India,Away,Away,First,Second,India
Afghanistan,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,India,Away,Away,First,Second,India
Bangladesh,Afghanistan,Away,Away,First,Second,Bangladesh
Bangladesh,Pakistan,Away,Away,First,Second,Bangladesh
Bangladesh,India,Away,Away,First,Second,India
West Indies,Bangladesh,Away,Away,First,Second,Bangladesh
Bangladesh,West Indies,Away,Away,First,Second,West Indies
West Indies,Bangladesh,Away,Away,First,Second,Bangladesh
Bangladesh,West Indies,Away,Away,First,Second,West Indies
Bangladesh,West Indies,Away,Away,First,Second,Bangladesh
West Indies,Bangladesh,Away,Away,First,Second,West Indies
Bangladesh,Zimbabwe,Away,Away,First,Second,Bangladesh
Zimbabwe,Bangladesh,Away,Away,First,Second,Bangladesh
Zimbabwe,Bangladesh,Away,Away,First,Second,Bangladesh
New Zealand,India,Away,Away,First,Second,India
India,New Zealand,Away,Away,First,Second,India
New Zealand,India,Away,Away,First,Second,India
